id,shop_name,URL,rate,rocation,comment,smoking
46,袋小路のピエロ,https://tabelog.com/tokyo/A1321/A132102/13177233/,, 練馬駅 353m / 喫茶店,,完全禁煙
47,喫茶 プー横丁の店 POOH’S HOUSE,https://tabelog.com/tokyo/A1325/A132502/13046254/,3.13, 国分寺駅 563m / 喫茶店、バー、カフェ,,
48,アワヤ洋菓子店 ,https://tabelog.com/tokyo/A1315/A131501/13048043/,3.23, 大井町駅 75m / 喫茶店、ケーキ、カフェ,,分煙
49,フレッシュネスバーガー 中目黒駅前店 ,https://tabelog.com/tokyo/A1317/A131701/13108145/,3.02, 中目黒駅 100m / ハンバーガー、カフェ、喫茶店,,分煙
50,ボンジュール,https://tabelog.com/tokyo/A1324/A132403/13133840/,3.11, 金町駅 418m / 喫茶店、カフェ,,喫煙可
51,スメル,https://tabelog.com/tokyo/A1311/A131103/13076033/,3.3, 浅草橋駅 189m / 喫茶店,,
52,飛鳥,https://tabelog.com/tokyo/A1310/A131002/13113339/,3.08, 神田駅 429m / 喫茶店,,喫煙可
53,cafe すぱかり,https://tabelog.com/tokyo/A1326/A132602/13236696/,, 東府中駅 145m / カフェ、喫茶店,,
54,アグネスホテル ティー・ラウンジ,https://tabelog.com/tokyo/A1309/A130905/13006445/,3.43, 飯田橋駅 373m / ラウンジ、喫茶店、ケーキ,,完全禁煙
55,ぷらざ・デ・かたくり,https://tabelog.com/tokyo/A1329/A132904/13140869/,3.06, 南大沢駅 258m / 喫茶店、カフェ・喫茶（その他）、スイーツ（その他）,,
56,ベーグル＆ベーグル 恵比寿店,https://tabelog.com/tokyo/A1303/A130302/13037903/,3.09, 恵比寿駅 189m / カフェ、ベーグル、喫茶店,,完全禁煙
57,EXCELSIOR CAFFE 日暮里店,https://tabelog.com/tokyo/A1311/A131105/13134179/,3.04, 日暮里駅 70m / カフェ、喫茶店、コーヒー専門店,,分煙
58,駱駝,https://tabelog.com/tokyo/A1302/A130204/13089639/,3.4, 東日本橋駅 95m / コーヒー専門店、喫茶店,,分煙
59,麻利,https://tabelog.com/tokyo/A1302/A130203/13178263/,3, 茅場町駅 403m / 喫茶店,,喫煙可
60,名曲喫茶ミニヨン,https://tabelog.com/tokyo/A1319/A131906/13050785/,3.17, 荻窪駅 252m / 喫茶店,,
61,ツインズ,https://tabelog.com/tokyo/A1310/A131003/13117237/,, 水道橋駅 210m / 喫茶店,,
62,ラブウイング,https://tabelog.com/tokyo/A1313/A131302/13078249/,3.06, 勝どき駅 68m / 喫茶店,,
63,カフェ・ド・カリブ,https://tabelog.com/tokyo/A1323/A132301/13173760/,3.11, 田端駅 397m / 喫茶店、パブ,,喫煙可
64,サンドイッチハウス　メルヘン ギャラリー店,https://tabelog.com/tokyo/A1329/A132904/13097946/,3.01, 西八王子駅 60m / パン・サンドイッチ（その他）、喫茶店,,
65,コール・ミー・ジャズ,https://tabelog.com/tokyo/A1309/A130901/13208556/,3.02, 外苑前駅 637m / バー、喫茶店,,
66,高山珈琲,https://tabelog.com/tokyo/A1310/A131002/13011257/,3.59, 淡路町駅 200m / コーヒー専門店、喫茶店、カフェ,,喫煙可
67,イタリアン・トマトカフェジュニア 大森駅東口店,https://tabelog.com/tokyo/A1315/A131502/13086526/,3.03, 大森駅 214m / 喫茶店,,
68,喫茶コボちゃん,https://tabelog.com/tokyo/A1317/A131714/13113504/,3.17, 池上駅 369m / 喫茶店,,喫煙可
69,ラリー,https://tabelog.com/tokyo/A1324/A132403/13076315/,3, 亀有駅 346m / 喫茶店,,
70,花時計,https://tabelog.com/tokyo/A1302/A130202/13022432/,3.52, 日本橋駅 125m / 喫茶店、パンケーキ、カフェ,,
71,カフェリン,https://tabelog.com/tokyo/A1329/A132904/13129914/,3.23, 八王子駅 841m / カフェ、喫茶店,,
72,エフエフ,https://tabelog.com/tokyo/A1310/A131003/13054928/,3.07, 水道橋駅 367m / 喫茶店,,
73,珈琲舎中野,https://tabelog.com/tokyo/A1321/A132104/13076531/,, 鷺ノ宮駅 210m / 喫茶店,,
